,"The date range of the seasonal run. Winter and Late-fall will have a range by month and year. Spring and Fall will be a full, singular year.",The simplified year of the seasonal run. The ending year of the Winter and Late-fall runs is the simplified year.,"Fall, Winter, Spring and Late-Fall runs.
The Feather River Survey does not provide separate estimates for fall and spring escapement.  Spring-run estimates are included with fall-run estimates.
","The river system can either be 1) Sacramento River, 2) San Joaquin River, or 3) Central Valley. The Central Valley River System is a combination of both the Sacramento and San Joaquin River Systems.","This field only applies to Fall-run counts in the Sacramento River System. There are three reaches: 1) Keswick Dam to Red Bluff Diversion Dam (RBDD), 2) RBDD to Princeton Ferry, and 3) Princeton Ferry to Sacramento. ","Angler Harvest, Carcass, Hatchery, In-River Count, Snorkel, or Transfer.  When available, the carcass survey estimate is used instead of the snorkel survey estimate.  Hatchery estimates account for fish returning to a hatchery. Transfer estimates account for fish that are captured and transferred to a specified hatchery. In-River Count estimates fish escapements within the specified river, although the data collection type is not provided. ","The location of where the estimate or count was taken. In the Sacramento River Main Stem, the escapement estimate may include numbers of fish for tributaries where estimates were not made.",The location of the associated hatchery where either the estimate was taken or fish were transferred. ,The origin of fish that were transferred to a hatchery.,"When available, the specific location along the river is provided. ",The estimated quantity of Chinook escapement. 
Chinook,1981,1981,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,"3,133"
Chinook,1981,1981,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cottonwood Creek,,,,"3,356"
Chinook,1981,1981,Fall,San Joaquin River,,In-River Count,Mokelumne River,,,,"4,954"
Chinook,1981,1981,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,Feather River,Feather River Hatchery,,,"8,282"
Chinook,1981,1981,Fall,San Joaquin River,,In-River Count,Merced River,,,,"9,491"
Chinook,1981,1981,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Yuba River,,,,"14,025"
Chinook,1981,1981,Fall,San Joaquin River,,In-River Count,Tuolumne River,,,,"14,253"
Chinook,1981,1981,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,American River,Nimbus Hatchery,,,"20,593"
Chinook,1981,1981,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"26,261"
Chinook,1981,1981,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Sacramento River Main Stem,,,,"40,340"
Chinook,Nov 1980 - Apr 1981,1981,Late-Fall,Sacramento River,,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,147
Chinook,Nov 1980 - Apr 1981,1981,Late-Fall,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"6,423"
Chinook,Nov 1980 - Apr 1981,1981,Late-Fall,Sacramento River,,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam or RBDD,Upstream of RBDD,148
Chinook,1981,1981,Spring,Central Valley,,Hatchery,Feather River,Feather River Hatchery,,,469
Chinook,1981,1981,Spring,Central Valley,,Snorkel,Butte Creek,,,,250
Chinook,1981,1981,Spring,Central Valley,,In-River Count,Feather River,,,,531
Chinook,1981,1981,Spring,Central Valley,,In-River Count,Yuba River,,,,200
Chinook,1981,1981,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"20,655"
Chinook,Dec 1980 - Aug 1981,1981,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,"2,756"
Chinook,Dec 1980 - Aug 1981,1981,Winter,Sacramento River,,Angler Harvest,Sacramento River Main Stem,,,Upstream of RBDD,246
Chinook,Dec 1980 - Aug 1981,1981,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"19,795"
Chinook,1982,1982,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Feather River,,,,"47,956"
Chinook,1982,1982,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,American River,,,,"33,000"
Chinook,1982,1982,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"19,525"
Chinook,1982,1982,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"7,270"
Chinook,1982,1982,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Toomes Creek,,,,15
Chinook,1982,1982,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Salt Creek,,,,20
Chinook,1982,1982,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Dye Creek,,,,25
Chinook,1982,1982,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Paynes Creek,,,,30
Chinook,1982,1982,Fall,Sacramento River,Keswick Dam to RBDD,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam and Anderson-Cottonwood Dam,,235
Chinook,1982,1982,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Craig Creek,,,,90
Chinook,1982,1982,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Antelope Creek,,,,162
Chinook,1982,1982,Fall,San Joaquin River,,Hatchery,Merced River,Merced River Fish Hatchery,,,189
Chinook,1982,1982,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Deer Creek,,,,480
Chinook,1982,1982,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cottonwood Creek,,,,700
Chinook,1982,1982,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,785
Chinook,1982,1982,Fall,Sacramento River,RBDD to Princeton Ferry,Hatchery,Sacramento River Main Stem,Tehama Colusa Fish Facility,,,"1,225"
Chinook,1982,1982,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Mill Creek,,,,"1,290"
Chinook,1982,1982,Fall,San Joaquin River,,Hatchery,Mokelumne River,Mokelumne Hatchery,,,"2,677"
Chinook,1982,1982,Fall,San Joaquin River,,In-River Count,Merced River,,,,"3,074"
Chinook,1982,1982,Fall,San Joaquin River,,In-River Count,Mokelumne River,,,,"6,695"
Chinook,1982,1982,Fall,San Joaquin River,,In-River Count,Tuolumne River,,,,"7,126"
Chinook,1982,1982,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,Feather River,Feather River Hatchery,,,"7,563"
Chinook,1982,1982,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,American River,Nimbus Hatchery,,,"10,898"
Chinook,1982,1982,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"17,731"
Chinook,1982,1982,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Sacramento River Main Stem,,,,"22,578"
Chinook,1982,1982,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Yuba River,,,,"39,367"
Chinook,Nov 1981 - Apr 1982,1982,Late-Fall,Sacramento River,,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,43
Chinook,Nov 1981 - Apr 1982,1982,Late-Fall,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"3,734"
Chinook,Nov 1981 - Apr 1982,1982,Late-Fall,Sacramento River,,Hatchery,Feather River,Feather River Hatchery,,,402
Chinook,Nov 1981 - Apr 1982,1982,Late-Fall,Sacramento River,,In-River Count,Clear Creek,,,,875
Chinook,Nov 1981 - Apr 1982,1982,Late-Fall,Sacramento River,,In-River Count,Feather River,,,,"1,598"
Chinook,Nov 1981 - Apr 1982,1982,Late-Fall,Sacramento River,,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam or RBDD,Upstream of RBDD,247
Chinook,1982,1982,Spring,Central Valley,,Hatchery,Feather River,Feather River Hatchery,,,"1,910"
Chinook,1982,1982,Spring,Central Valley,,Snorkel,Butte Creek,,,,534
Chinook,1982,1982,Spring,Central Valley,,In-River Count,Feather River,,,,90
Chinook,1982,1982,Spring,Central Valley,,In-River Count,Cottonwood Creek,,,,0
Chinook,1982,1982,Spring,Central Valley,,In-River Count,Mill Creek,,,,700
Chinook,1982,1982,Spring,Central Valley,,In-River Count,Deer Creek,,,,"1,500"
Chinook,1982,1982,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"23,156"
Chinook,Dec 1981 - Aug 1982,1982,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,39
Chinook,Dec 1981 - Aug 1982,1982,Winter,Sacramento River,,Angler Harvest,Sacramento River Main Stem,,,Upstream of RBDD,9
Chinook,Dec 1981 - Aug 1982,1982,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"1,233"
Chinook,1983,1983,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Feather River,,,,"22,823"
Chinook,1983,1983,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,American River,,,,"26,400"
Chinook,1983,1983,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"8,756"
Chinook,1983,1983,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"5,227"
Chinook,1983,1983,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Salt Creek,,,,15
Chinook,1983,1983,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Toomes Creek,,,,15
Chinook,1983,1983,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Dye Creek,,,,20
Chinook,1983,1983,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Antelope Creek,,,,60
Chinook,1983,1983,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Craig Creek,,,,60
Chinook,1983,1983,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Paynes Creek,,,,100
Chinook,1983,1983,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Mill Creek,,,,200
Chinook,1983,1983,Fall,San Joaquin River,,In-River Count,Cosumnes River,,,,200
Chinook,1983,1983,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Deer Creek,,,,370
Chinook,1983,1983,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Big Chico Creek,,,,500
Chinook,1983,1983,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Dry Creek,,,,500
Chinook,1983,1983,Fall,San Joaquin River,,In-River Count,Stanislaus River,,,,500
Chinook,1983,1983,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cottonwood Creek,,,,"1,000"
Chinook,1983,1983,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Butte Creek,,,,"1,000"
Chinook,1983,1983,Fall,Sacramento River,RBDD to Princeton Ferry,Hatchery,Sacramento River Main Stem,Tehama Colusa Fish Facility,,,"1,267"
Chinook,1983,1983,Fall,San Joaquin River,,Hatchery,Merced River,Merced River Fish Hatchery,,,"1,795"
Chinook,1983,1983,Fall,San Joaquin River,,Hatchery,Mokelumne River,Mokelumne Hatchery,,,"4,568"
Chinook,1983,1983,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,Feather River,Feather River Hatchery,,,"7,699"
Chinook,1983,1983,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,American River,Nimbus Hatchery,,,"8,900"
Chinook,1983,1983,Fall,San Joaquin River,,In-River Count,Mokelumne River,,,,"11,293"
Chinook,1983,1983,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Yuba River,,,,"13,756"
Chinook,1983,1983,Fall,San Joaquin River,,In-River Count,Tuolumne River,,,,"14,836"
Chinook,1983,1983,Fall,San Joaquin River,,In-River Count,Merced River,,,,"16,453"
Chinook,1983,1983,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"26,226"
Chinook,1983,1983,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Sacramento River Main Stem,,,,"30,751"
Chinook,Nov 1982 - Apr 1983,1983,Late-Fall,Sacramento River,,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,105
Chinook,Nov 1982 - Apr 1983,1983,Late-Fall,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"14,437"
Chinook,Nov 1982 - Apr 1983,1983,Late-Fall,Sacramento River,,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam or RBDD,Upstream of RBDD,547
Chinook,1983,1983,Spring,Central Valley,,Hatchery,Feather River,Feather River Hatchery,,,"1,702"
Chinook,1983,1983,Spring,Central Valley,,Snorkel,Butte Creek,,,,50
Chinook,1983,1983,Spring,Central Valley,,In-River Count,Antelope Creek,,,,59
Chinook,1983,1983,Spring,Central Valley,,In-River Count,Deer Creek,,,,500
Chinook,1983,1983,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,"1,793"
Chinook,1983,1983,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"3,854"
Chinook,Dec 1982 - Aug 1983,1983,Winter,Sacramento River,,Angler Harvest,Sacramento River Main Stem,,,Upstream of RBDD,4
Chinook,Dec 1982 - Aug 1983,1983,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"1,827"
Chinook,1984,1984,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Feather River,,,,"41,769"
Chinook,1984,1984,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,American River,,,,"27,447"
Chinook,1984,1984,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"21,581"
Chinook,1984,1984,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"8,312"
Chinook,1984,1984,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Singer Creek,,,,20
Chinook,1984,1984,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Salt Creek,,,,30
Chinook,1984,1984,Fall,Sacramento River,Keswick Dam to RBDD,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam and Anderson-Cottonwood Dam,,67
Chinook,1984,1984,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Dye Creek,,,,50
Chinook,1984,1984,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Toomes Creek,,,,50
Chinook,1984,1984,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Craig Creek,,,,60
Chinook,1984,1984,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Paynes Creek,,,,90
Chinook,1984,1984,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Big Chico Creek,,,,200
Chinook,1984,1984,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cow Creek,,,,250
Chinook,1984,1984,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Antelope Creek,,,,260
Chinook,1984,1984,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Bear River,,,,300
Chinook,1984,1984,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cottonwood Creek,,,,500
Chinook,1984,1984,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Deer Creek,,,,680
Chinook,1984,1984,Fall,San Joaquin River,,In-River Count,Cosumnes River,,,,"1,000"
Chinook,1984,1984,Fall,Sacramento River,RBDD to Princeton Ferry,Hatchery,Sacramento River Main Stem,Tehama Colusa Fish Facility,,,"1,206"
Chinook,1984,1984,Fall,San Joaquin River,,Hatchery,Merced River,Merced River Fish Hatchery,,,"2,109"
Chinook,1984,1984,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,"4,000"
Chinook,1984,1984,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Mill Creek,,,,"5,800"
Chinook,1984,1984,Fall,San Joaquin River,,In-River Count,Mokelumne River,,,,"8,298"
Chinook,1984,1984,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,Feather River,Feather River Hatchery,,,"9,288"
Chinook,1984,1984,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Yuba River,,,,"9,665"
Chinook,1984,1984,Fall,San Joaquin River,,In-River Count,Stanislaus River,,,,"11,439"
Chinook,1984,1984,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,American River,Nimbus Hatchery,,,"12,249"
Chinook,1984,1984,Fall,San Joaquin River,,In-River Count,Tuolumne River,,,,"13,689"
Chinook,1984,1984,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Sacramento River Main Stem,,,,"17,960"
Chinook,1984,1984,Fall,San Joaquin River,,In-River Count,Merced River,,,,"27,640"
Chinook,1984,1984,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"36,898"
Chinook,Nov 1983 - Apr 1984,1984,Late-Fall,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"6,205"
Chinook,Nov 1983 - Apr 1984,1984,Late-Fall,Sacramento River,,In-River Count,Craig Creek,,,,150
Chinook,Nov 1983 - Apr 1984,1984,Late-Fall,Sacramento River,,In-River Count,Clear Creek,,,,200
Chinook,Nov 1983 - Apr 1984,1984,Late-Fall,Sacramento River,,In-River Count,Cottonwood Creek,,,,400
Chinook,Nov 1983 - Apr 1984,1984,Late-Fall,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,"3,098"
Chinook,Nov 1983 - Apr 1984,1984,Late-Fall,Sacramento River,,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam or RBDD,Upstream of RBDD,335
Chinook,1984,1984,Spring,Central Valley,,Hatchery,Feather River,Feather River Hatchery,,,"1,562"
Chinook,1984,1984,Spring,Central Valley,,Snorkel,Butte Creek,,,,23
Chinook,1984,1984,Spring,Central Valley,,In-River Count,Big Chico Creek,,,,0
Chinook,1984,1984,Spring,Central Valley,,In-River Count,Mill Creek,,,,191
Chinook,1984,1984,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"7,823"
Chinook,Dec 1983 - Aug 1984,1984,Winter,Sacramento River,,Angler Harvest,Sacramento River Main Stem,,,Upstream of RBDD,1
Chinook,Dec 1983 - Aug 1984,1984,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"2,662"
Chinook,Dec 1983 - Aug 1984,1984,Winter,San Joaquin River,,In-River Count,Calaveras River,,,,100
Chinook,1985,1985,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Feather River,,,,"50,191"
Chinook,1985,1985,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,American River,,,,"56,120"
Chinook,1985,1985,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"16,320"
Chinook,1985,1985,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Upstream of CNFH,"10,696"
Chinook,1985,1985,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"12,792"
Chinook,1985,1985,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Big Chico Creek,,,,25
Chinook,1985,1985,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Dry Creek,,,,25
Chinook,1985,1985,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Butte Creek,,,,100
Chinook,1985,1985,Fall,San Joaquin River,,In-River Count,Cosumnes River,,,,220
Chinook,1985,1985,Fall,San Joaquin River,,Hatchery,Mokelumne River,Mokelumne Hatchery,,,223
Chinook,1985,1985,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,700
Chinook,1985,1985,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Deer Creek,,,,900
Chinook,1985,1985,Fall,San Joaquin River,,Hatchery,Merced River,Merced River Fish Hatchery,,,"1,211"
Chinook,1985,1985,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Mill Creek,,,,"3,840"
Chinook,1985,1985,Fall,Sacramento River,RBDD to Princeton Ferry,Hatchery,Sacramento River Main Stem,Tehama Colusa Fish Facility,,,"4,752"
Chinook,1985,1985,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,Feather River,Feather River Hatchery,,,"5,811"
Chinook,1985,1985,Fall,San Joaquin River,,In-River Count,Mokelumne River,,,,"7,459"
Chinook,1985,1985,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,American River,Nimbus Hatchery,,,"9,093"
Chinook,1985,1985,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Yuba River,,,,"13,042"
Chinook,1985,1985,Fall,San Joaquin River,,In-River Count,Stanislaus River,,,,"13,473"
Chinook,1985,1985,Fall,San Joaquin River,,In-River Count,Merced River,,,,"14,841"
Chinook,1985,1985,Fall,San Joaquin River,,In-River Count,Tuolumne River,,,,"40,322"
Chinook,1985,1985,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Sacramento River Main Stem,,,,"42,028"
Chinook,1985,1985,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"52,120"
Chinook,Nov 1984 - Apr 1985,1985,Late-Fall,Sacramento River,,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,181
Chinook,Nov 1984 - Apr 1985,1985,Late-Fall,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"7,929"
Chinook,Nov 1984 - Apr 1985,1985,Late-Fall,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,"1,863"
Chinook,Nov 1984 - Apr 1985,1985,Late-Fall,Sacramento River,,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam or RBDD,Upstream of RBDD,207
Chinook,1985,1985,Spring,Central Valley,,Hatchery,Feather River,Feather River Hatchery,,,"1,632"
Chinook,1985,1985,Spring,Central Valley,,Snorkel,Butte Creek,,,,254
Chinook,1985,1985,Spring,Central Valley,,In-River Count,Big Chico Creek,,,,0
Chinook,1985,1985,Spring,Central Valley,,In-River Count,Mill Creek,,,,121
Chinook,1985,1985,Spring,Central Valley,,In-River Count,Deer Creek,,,,301
Chinook,1985,1985,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,"2,713"
Chinook,1985,1985,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"10,200"
Chinook,Dec 1984 - Aug 1985,1985,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,"1,445"
Chinook,Dec 1984 - Aug 1985,1985,Winter,Sacramento River,,Angler Harvest,Sacramento River Main Stem,,,Upstream of RBDD,276
Chinook,Dec 1984 - Aug 1985,1985,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"3,686"
Chinook,1986,1986,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Feather River,,,,"46,843"
Chinook,1986,1986,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,American River,,,,"49,372"
Chinook,1986,1986,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"12,481"
Chinook,1986,1986,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Upstream of CNFH,"7,263"
